	GSM2358163	GSM2358164	GSM2358165	GSM2358166	GSM2358167	GSM2358168	GSM2358169	GSM2358170	GSM2358171	GSM2358172	GSM2358173	GSM2358174	GSM2358175	GSM2358176	GSM2358177	GSM2358178	GSM2358179
KDM5D	2	0	1	1	0	0	711	643	667	871	1080	851	1	0	1	0	2
CALCOCO1	490	362	331	572	553	713	526	522	583	909	909	986	508	454	326	812	703
UBR7	538	470	419	499	515	574	509	389	386	618	630	572	510	376	351	572	433
MAP4K5	422	358	295	359	320	417	371	377	288	338	455	416	462	341	320	409	395
EHD3	9	7	7	6	11	5	25	12	11	19	17	13	40	46	33	20	15
PSMC4	584	505	450	570	538	769	368	359	380	532	535	640	719	556	620	632	550
MAN2B2	945	789	784	1242	1322	1652	685	570	709	1039	941	1410	851	662	663	1579	1637
SLC7A14	11	4	6	8	9	12	5	3	6	29	32	25	10	13	3	9	10
CLDN11	8	8	7	6	2	14	9	15	10	11	8	17	3	9	3	5	4
SLC25A39	2275	1920	1821	1555	1449	2061	1580	1568	1082	1260	1111	1477	2818	2006	2402	1715	1624
MVP	2580	2198	1995	2725	2741	3507	1544	1770	1148	1672	1511	2105	2324	1767	1903	2753	2658
NUB1	1629	1264	1111	1178	1164	1431	1161	1111	1091	1278	1330	1401	1666	1251	1414	1971	1419
PGM3	1774	1690	1380	2250	1956	2940	1383	1193	1159	1881	2371	2388	2710	2122	2211	2825	2917
RWDD2A	167	155	116	168	161	198	190	161	126	141	188	155	233	176	198	192	176
CLK1	1466	1248	1020	1056	1066	1118	1436	1290	2306	1795	2417	2134	1089	958	905	1449	1174
POLR3B	568	442	397	383	373	559	461	346	329	391	409	432	499	437	483	466	362
ANGEL1	441	367	310	500	431	593	396	332	469	585	564	712	478	375	436	690	574
RNF14	1269	1080	1029	1240	1110	1588	1158	1013	999	1250	1425	1395	965	799	843	1750	1366
DNASE1L1	221	169	166	254	226	317	133	139	140	276	216	299	169	117	122	245	233
DDX11	344	253	180	168	161	235	223	251	243	242	207	239	235	204	211	103	91
HEBP1	1296	1123	1024	981	1024	1101	1240	1083	1087	1197	1367	1426	1499	1136	1311	1691	1252
GPRC5A	21	20	13	4	9	12	1	10	5	9	4	9	20	11	15	18	29
MAMLD1	38	39	32	38	38	58	44	31	40	40	27	55	31	23	27	30	48
CD6	5	5	3	0	4	3	1	4	2	1	1	4	1	1	3	9	1
TACC3	110	94	59	49	43	55	66	60	116	119	131	157	59	45	65	73	68
UFL1	1556	1387	1086	1105	1115	1526	1217	952	972	994	1285	1176	1787	1401	1439	1236	950
POLA2	143	65	59	129	138	76	70	81	81	109	136	149	82	75	92	60	103
ZC3H3	109	121	117	177	176	238	166	261	166	280	194	271	175	141	147	195	170
CAPN1	1434	1326	1334	1459	1537	2229	1230	1307	813	1554	1160	1808	1956	1385	1485	1653	1781
ACP3	4	2	0	5	1	1	2	1	5	1	1	1	2	1	7	2	1
MDH1	3931	3424	2994	3339	3284	3738	3540	2924	2912	2929	3664	3675	5265	4040	4054	4885	4021
SLC30A9	751	664	592	1055	966	1429	509	475	515	993	1097	1197	521	449	560	1586	1427
MTMR11	253	198	176	196	200	193	294	412	264	324	435	481	203	219	162	340	350
COX15	1302	1087	981	991	906	1184	1117	854	945	894	987	1039	1326	1039	1251	1364	1217
CCDC88C	36	22	22	28	26	56	63	50	32	98	72	96	12	25	17	27	31
YAF2	238	253	199	285	280	357	240	251	234	356	423	392	258	225	208	444	360
ZMYND11	1281	1073	1042	1230	1084	1628	1067	984	898	1152	1385	1265	1137	853	971	1290	1068
WAS	59	43	37	25	13	13	71	72	38	16	12	21	105	87	60	21	15
DPEP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BID	1011	806	902	948	942	1280	628	643	692	1126	1153	1273	657	442	571	1189	1126
MATR3	2939	2571	2164	2354	2328	2358	2369	2007	2284	2115	2328	2262	3638	2917	3033	2480	1990
NPC1L1	1523	1062	1037	2526	2409	3578	1126	1168	1221	3100	2700	3687	410	395	360	2890	2712
XYLT2	256	176	204	283	295	390	114	127	103	332	259	341	187	115	160	240	236
RGPD5	507	232	110	448	455	193	286	337	265	327	587	501	383	67	51	225	182
STMN4	1	0	0	0	1	7	0	0	0	0	0	1	0	0	0	0	1
NUDCD3	883	722	725	796	780	1241	654	623	662	683	773	793	756	621	629	888	755
ISL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHDH	1039	877	761	771	823	1096	1126	999	1119	813	895	857	895	719	790	1056	976
IL20RA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CLCA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GLT8D1	881	745	611	693	680	755	711	533	633	484	717	627	827	630	654	913	690
ATP2C1	1415	1225	1078	1442	1509	1932	1045	964	835	1418	1820	1658	981	876	830	2032	1720
IGF1	571	470	346	452	492	581	654	632	338	523	516	654	234	321	137	477	364
SLC38A5	4	4	1	1	2	4	2	3	2	4	4	5	3	4	8	0	5
RALBP1	1337	1110	1010	1027	912	1225	1134	1023	728	924	986	966	1489	1171	1111	1281	1133
RUFY3	1348	1135	765	570	549	741	726	659	1071	640	987	811	946	725	948	949	640
CNTN1	0	0	0	1	0	2	0	1	0	0	3	0	0	0	0	0	2
SLC11A1	23	19	11	8	13	9	12	9	19	16	17	14	17	20	26	12	13
WWTR1	187	170	167	274	295	414	225	238	203	393	394	400	202	222	129	414	414
AGPS	1507	1370	1232	1147	1218	1670	1184	1059	976	1104	1204	1274	1276	1053	1158	1413	1252
ZNF285CP	0	1	2	0	0	0	2	1	4	2	4	0	1	0	1	0	0
STEEP1	161	130	125	147	147	176	194	157	150	158	158	215	160	137	101	122	128
ATP1A2	0	2	1	3	0	0	1	0	1	5	3	10	1	2	1	12	9
TTC27	179	185	182	198	170	256	149	150	143	170	228	199	213	186	201	216	192
ZNF582	16	13	11	21	19	53	24	15	12	55	40	36	9	12	21	45	20
VSIG2	9	7	11	12	8	21	14	26	11	14	25	28	18	18	18	57	56
PHLDB1	20	14	22	19	25	67	25	23	27	40	56	50	27	26	21	51	69
MARCO	9	2	7	1	2	1	3	2	2	1	1	1	2	3	1	3	6
CYP24A1	0	1	1	0	0	0	0	0	0	1	0	3	0	0	0	0	1
PRDM11	66	51	44	54	61	89	22	38	29	61	59	69	50	37	58	55	42
SYT13	7	4	1	6	18	18	4	5	3	9	9	1	8	3	4	9	30
SNAI2	162	164	114	95	130	117	354	296	160	152	176	183	491	466	433	135	113
CD74	162	124	119	333	410	457	60	67	115	317	360	404	101	79	107	880	630
HGF	1	1	1	1	6	2	6	8	13	13	11	15	1	1	2	11	4
ZRANB1	775	687	635	888	735	1169	715	596	713	1317	1383	1399	592	483	552	1104	900
NCDN	250	189	173	188	197	218	148	168	109	166	104	138	194	192	198	179	156
ADGRA2	1	0	0	4	5	6	8	4	7	15	18	23	1	1	3	8	4
CCT8L1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFP64	196	179	172	221	189	277	148	163	109	210	197	245	217	171	202	223	182
MNAT1	191	213	186	196	168	247	161	152	172	151	192	212	180	125	158	223	211
SAMD4A	978	858	750	961	762	1026	774	585	1095	1471	1704	1567	581	424	648	1143	834
RUNX3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1
MRE11	289	276	200	252	215	305	231	218	274	265	391	342	192	160	152	234	216
PLEKHB1	0	3	0	2	4	9	3	0	0	0	1	5	1	0	2	0	3
SERPINB1	1549	1318	1103	1294	1559	1898	992	992	1061	1934	2125	2263	1308	1106	1397	1990	1860
CYP3A43	85	76	68	32	27	48	28	26	62	31	45	33	18	18	22	45	74
SLC7A9	304	236	232	334	364	421	220	175	202	353	312	432	284	221	299	426	370
SPAST	449	415	321	418	351	544	476	397	345	392	461	457	604	567	439	529	462
NRXN3	2	3	1	3	4	5	4	3	7	5	14	12	1	2	2	4	1
OSBPL5	3	4	3	6	3	3	1	2	1	9	8	3	1	4	1	4	4
AQR	767	654	638	721	686	985	704	647	506	597	738	641	748	652	627	831	672
CPS1	31069	25622	25372	38167	34916	40015	29137	19482	17500	17387	20515	15060	37442	29470	22045	28531	21413
C8B	13582	11526	10504	7977	8531	10553	14795	14878	11075	8514	10584	10290	8374	6711	6014	10480	8008
FHL1	151	121	104	158	153	192	103	111	56	146	183	128	134	132	109	183	195
RTF2	1159	955	939	972	976	1195	956	856	696	900	998	1151	1037	802	896	1190	1092
GABRA1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0
NLRP2	0	2	2	1	0	1	1	1	2	2	3	0	5	4	1	0	7
SLC45A4	0	1	0	0	1	5	2	0	2	6	1	6	1	0	2	1	3
RNF10	2006	1678	1596	2253	2095	2982	1664	1456	1237	2455	2513	2662	1765	1566	1626	2458	2245
ZNF839	135	156	113	149	123	181	121	119	178	181	176	208	141	136	115	205	141
ZDHHC6	575	511	496	549	490	506	565	523	568	590	761	682	438	466	394	473	434
GRAMD1B	3	5	7	10	9	7	7	9	8	15	3	9	13	9	7	7	15
RNH1	792	670	754	740	770	884	528	553	346	522	373	544	907	530	717	503	464
NDUFS1	1421	1249	1122	1214	1159	1601	1276	1127	1065	1263	1532	1527	1175	914	1037	1773	1519
RB1CC1	1865	1697	1376	1523	1400	1789	1954	1699	1392	1413	1662	1491	2712	2345	1876	1810	1580
ERP44	2495	2342	1834	2244	2300	2874	1995	1918	2160	2587	3139	3157	3434	2749	2659	3267	2551
ALAS1	420	379	352	884	908	1112	398	318	260	480	547	553	546	472	386	738	672
BIRC3	1412	1159	793	1543	1708	2258	1045	1046	765	852	1222	828	2039	1584	1661	1507	1849
AKAP11	892	763	654	651	613	819	952	767	634	620	808	722	901	768	667	762	721
GLRX2	408	321	283	355	312	390	285	237	346	329	433	379	268	162	207	459	396
SNAPC1	88	108	77	57	56	53	90	63	62	67	51	75	143	104	109	73	57
DERA	1192	1100	1047	1303	1199	1602	1090	985	866	1150	1312	1238	870	662	739	1595	1305
STRAP	1705	1561	1389	1609	1578	2103	1481	1325	1246	1539	1699	1644	2147	1693	2002	2276	2018
ABCC2	17799	15674	13077	13888	13515	18498	12657	11390	13730	14060	16978	17268	15274	13084	13384	15961	14134
DEF6	12	11	3	10	9	13	14	17	19	15	14	19	14	14	9	10	3
PLEKHO1	12	7	8	14	8	4	4	9	13	17	16	22	4	6	1	24	19
GCLM	3939	3676	3291	2625	2268	3295	2439	2313	2179	1941	2487	2248	2975	2056	3451	3146	2535
UBR2	1290	1098	941	1300	1163	1682	1019	856	891	1129	1319	1370	1118	999	930	1560	1233
EHD2	518	455	448	997	1055	1250	79	89	62	341	271	310	90	105	77	584	601
DEPDC1	1	0	0	1	3	5	2	5	8	8	24	7	0	3	1	2	4
CCDC28A	553	428	455	478	426	470	377	355	327	377	466	468	407	336	396	643	553
RRAGD	352	356	280	412	348	406	429	432	258	298	321	306	442	385	309	398	363
HSF2	160	131	110	119	105	133	161	120	114	110	106	114	212	181	152	149	93
PHF20	376	344	261	420	400	505	345	322	225	303	346	350	379	298	274	455	435
HSD17B6	5633	4125	4589	6722	5954	7482	2139	1974	3859	3852	4929	4119	2297	1630	2131	10659	9689
NR1H3	579	484	457	496	494	582	395	354	436	546	510	544	372	280	365	555	544
TYMP	823	610	627	747	1034	1166	306	375	407	858	622	1067	445	315	406	588	677
NCAPH2	230	212	170	255	218	226	144	159	158	251	200	284	174	137	159	210	211
TOMM34	404	454	330	354	395	511	401	358	259	434	409	441	506	447	385	513	472
SEC63	3646	3155	2699	2289	2124	2811	2955	2367	2791	2445	2942	2893	5092	3885	4121	3211	2530
KPNA6	2170	1827	1635	1816	1451	2228	1761	1578	1369	1579	1900	1864	2331	1837	1825	2488	1977
VIM	102	49	73	137	122	156	256	264	575	605	957	707	139	146	196	383	492
RTEL1-TNFRSF6B	57	18	26	21	22	11	21	34	37	110	64	97	12	22	11	32	21
FAS	806	737	587	816	948	1072	542	442	455	607	763	798	763	667	691	941	915
RNASET2	157	159	113	148	181	238	161	124	173	215	209	202	222	167	179	283	264
CD44	43	24	22	21	42	41	65	47	79	58	99	116	144	170	130	152	191
KCNG1	5	3	0	0	1	0	3	0	4	5	5	5	8	2	2	2	0
AGPAT4	3	2	5	1	3	17	2	3	5	4	9	17	3	0	4	10	11
SLAMF7	1	1	3	0	1	0	1	1	1	5	0	1	3	6	3	0	0
BTN3A1	334	338	245	459	454	557	314	212	262	361	364	406	501	446	345	518	487
MIPEP	290	245	248	218	177	289	231	219	205	242	228	297	299	251	240	270	271
PRKCH	36	21	17	16	17	30	63	56	36	11	26	19	66	77	23	16	25
INSRR	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0
IFNGR1	3252	2750	2326	1945	2066	2498	1170	1259	1043	1498	1700	1787	3638	3197	2592	2367	1946
B4GALT7	264	210	209	232	200	298	186	179	159	313	260	355	169	138	152	199	238
SH2D2A	0	0	1	0	1	1	0	2	0	1	0	1	3	2	4	0	0
VRK2	349	325	293	289	245	348	252	240	211	285	316	313	344	240	354	390	287
TNFRSF1B	180	122	107	242	343	350	113	81	94	187	178	197	151	147	123	310	322
VEZT	1021	813	742	847	798	1202	723	640	626	995	1173	1144	591	523	585	1135	1056
POU2F2	0	1	0	1	2	2	0	2	2	0	0	1	3	1	1	1	1
BRD9	232	193	152	192	222	299	189	155	200	266	268	305	127	132	117	226	213
SNX1	1832	1590	1381	1734	1545	2049	1710	1536	1719	1917	2317	2260	1783	1555	1510	2666	2181
TBPL1	208	179	184	171	179	221	178	167	144	144	199	142	204	173	183	172	179
ARNTL2	398	389	326	354	353	488	313	374	306	428	423	464	364	365	353	610	523
BCLAF1	1431	1222	1026	1234	1381	1668	1185	1022	1276	1368	1673	1525	1312	1111	1088	1761	1486
SLC39A9	2241	2081	1842	1677	1747	2432	2043	1725	1748	1756	2009	1939	2336	1872	1896	2555	2166
ANK1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IBSP	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0
TFB1M	293	259	255	299	280	329	237	205	252	342	414	432	302	236	305	412	300
RABEP1	822	685	652	705	575	718	849	653	541	636	718	630	832	576	666	881	749
HMGB3	985	849	780	1109	1147	1351	846	749	693	1504	1724	1732	1221	1008	1028	1866	1637
NUP160	628	610	622	500	467	609	593	521	476	461	531	470	616	514	489	479	382
BAK1	166	138	102	189	164	262	138	130	96	202	175	240	279	223	258	259	305
MUSK	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IKZF2	150	141	103	57	44	74	59	45	60	17	35	31	63	61	51	35	24
GRN	1184	983	1005	2004	2482	3030	903	917	779	2295	1717	2958	1253	932	971	2082	2360
FAM13B	301	298	254	266	273	298	343	311	253	340	379	356	204	212	190	331	275
ARHGAP31	35	27	13	21	19	31	42	52	49	28	31	32	50	46	37	27	21
CENPQ	76	55	46	43	33	40	53	46	44	38	49	37	48	47	34	54	32
SARS1	5101	4420	4094	2419	2406	3283	3830	3241	3283	2213	2523	2598	4861	3491	4338	2956	2133
RANBP3	416	346	331	432	405	639	327	277	255	466	395	521	378	297	335	433	420
ARID4A	565	498	409	413	347	464	399	334	437	343	390	357	431	378	391	426	353
EIPR1	246	210	245	185	185	282	175	191	156	191	164	232	224	167	205	264	225
PNPLA6	823	699	718	656	727	921	699	680	426	627	541	694	1036	746	682	591	652
IFT88	487	487	339	389	430	445	440	383	495	437	549	509	479	339	440	409	318
ALG1	786	650	590	521	656	757	525	546	520	592	579	637	879	599	620	589	581
ZCCHC8	452	351	320	342	348	364	342	336	481	424	535	484	339	338	351	406	289
ABCF2	366	311	251	323	319	299	330	285	272	264	286	287	421	331	373	344	334
CHPF2	541	473	442	671	714	998	378	385	305	913	604	1126	694	556	519	890	968
LRRC7	31	20	18	9	24	25	27	21	41	26	49	54	20	26	15	25	21
FUT8	73	62	45	42	28	77	47	40	37	41	35	31	87	91	72	41	35
UBA6	792	863	598	780	766	916	819	712	675	669	996	783	864	748	612	904	843
GAB2	210	199	149	179	176	218	192	185	134	98	123	133	176	169	107	169	171
ATP6V0A1	1280	1248	902	1169	1105	1622	1112	995	849	1155	1120	1211	1468	1295	1073	1275	1134
PIAS1	454	423	323	338	382	457	522	471	380	484	507	511	579	500	342	648	443
SLC4A7	154	110	80	85	95	135	109	78	96	63	94	89	189	201	113	73	84
APBA2	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1
MAP2K3	978	829	780	1096	1065	1532	755	706	618	1271	1093	1569	929	707	904	1192	1197
CLXN	3	6	0	2	3	2	23	11	12	8	11	9	9	14	18	3	6
TMSB10	1265	1049	978	1640	1695	1967	945	1028	777	1582	1448	2007	1300	1200	1332	2612	3590
ASTE1	138	111	106	125	125	178	123	88	105	127	176	153	102	66	74	167	123
RNF19A	1166	927	955	911	879	1323	875	729	900	999	1136	1199	778	658	731	1279	1167
PEX3	517	440	369	529	455	684	384	330	318	481	552	575	487	425	369	766	631
GABARAPL2	950	835	778	698	781	920	878	777	831	845	857	1057	1179	848	1005	1232	1036
MYOC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3YL1	182	173	123	143	175	184	286	248	257	521	526	580	227	219	155	297	313
FAM136A	633	581	509	490	446	646	557	477	595	573	624	552	673	540	574	719	582
VCL	1025	964	719	879	947	1311	961	794	655	849	1068	1142	1210	1082	948	953	950
DEPDC1B	5	2	1	2	1	0	3	2	1	4	5	4	8	5	6	2	1
DAPK2	52	36	49	120	115	119	45	48	35	128	139	196	16	14	12	191	180
NSMAF	212	199	153	219	234	320	200	153	189	281	320	312	244	245	221	346	277
ADSS2	495	485	396	450	393	500	434	352	391	627	757	763	477	405	414	648	573
STAP1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
TIMP2	43	22	27	40	60	106	69	82	95	157	169	191	43	31	39	143	199
RFC1	1055	860	784	1026	973	1183	870	718	699	1031	1113	1127	976	747	719	1244	1008
TBC1D23	930	820	731	972	970	1257	768	710	705	871	1042	983	959	768	724	1179	1010
CUL3	1076	959	912	1073	986	1281	1092	1007	888	1127	1270	1146	1127	928	905	1447	1229
MYOM2	20	10	2	1	0	1	1	6	1	10	23	11	50	65	51	57	21
OTC	284	199	199	470	287	465	47	31	169	161	175	246	23	12	94	757	859
CYP46A1	31	26	19	15	8	12	19	17	24	17	32	26	34	22	16	13	19
ZZZ3	682	601	575	561	593	805	556	487	561	539	608	569	596	534	582	622	537
SLC18A1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP2	39	29	34	107	61	81	15	11	17	49	44	57	14	18	20	67	48
CASR	7	6	7	3	1	1	7	3	7	7	5	5	11	2	7	5	3
TUBG2	179	137	121	188	172	221	139	186	169	290	323	349	103	103	71	229	207
RPL26L1	485	386	358	285	314	293	303	271	317	265	294	341	536	311	417	345	270
FLT4	1	3	0	7	5	3	5	1	3	8	4	11	3	3	2	5	2
NSUN2	1726	1514	1241	1323	1151	1607	1558	1397	1491	1720	2014	1813	1717	1382	1503	2019	1499
FBXO42	495	403	375	318	324	441	393	358	454	321	318	360	435	366	378	397	328
MFAP3	1055	945	869	887	814	1267	910	746	607	739	903	828	1266	1067	961	1049	871
MRI1	266	213	192	253	245	360	177	241	226	365	361	431	170	155	138	238	261
METTL1	109	97	120	105	90	126	90	80	67	85	106	117	141	115	111	103	96
HOXC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGA	488	385	366	340	353	501	363	339	372	409	433	456	465	340	419	515	422
PI4K2B	1226	1177	1074	1346	1193	1452	1053	924	1027	1152	1314	1320	790	613	719	1800	1280
BOD1L1	719	637	455	550	523	647	695	586	632	752	776	726	859	720	579	572	457
MAT2B	805	746	614	745	731	929	748	613	627	753	837	725	817	699	708	1000	810
TLL1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0
EDC4	578	458	428	548	550	692	563	545	355	614	487	627	662	603	554	569	612
TRIO	1546	1206	1005	880	867	1153	1206	1142	1181	1047	1014	1035	1476	1353	1125	976	868
VCAN	95	69	58	58	71	98	203	200	137	186	243	202	47	56	56	68	112
CLEC16A	777	567	624	672	618	938	538	435	412	561	523	695	675	509	586	1096	814
MSR1	15	9	6	2	6	3	5	3	11	2	10	0	14	7	17	1	10
CDH1	1454	1215	1110	2927	2686	3998	801	707	1346	3854	4267	4930	1095	815	1378	5105	4490
MTREX	1151	1044	890	1033	931	1115	1069	850	810	803	953	858	1350	1024	1156	1028	860
DNAH5	469	375	269	101	72	86	568	490	637	99	129	65	361	362	257	259	169
ZFYVE16	556	466	366	595	600	728	547	493	482	633	732	772	470	371	434	734	628
RIPOR1	411	393	323	567	577	691	294	305	193	572	490	692	436	369	402	599	594
C6	11847	10365	9482	9292	8269	11516	7638	7716	6511	4620	5778	5031	7992	7036	5685	13721	10319
RAI14	785	692	580	970	907	1201	809	717	649	1008	1115	1080	730	668	637	1406	1381
SOX30	0	3	0	3	1	0	1	2	1	1	0	0	5	3	3	2	1
PNKP	140	112	120	162	175	158	109	126	90	265	211	304	85	61	87	195	172
BEST2	1	1	2	0	2	0	1	2	4	0	1	0	7	6	3	1	1
PHLPP2	342	286	249	452	404	595	220	220	168	463	467	587	343	318	273	721	782
SPDL1	70	55	74	59	57	48	62	57	66	75	110	78	79	82	63	82	73
STAU2	545	490	390	551	528	772	517	451	397	553	654	592	435	382	347	744	650
SLC66A1	282	196	231	269	280	366	158	135	187	306	279	380	202	142	182	268	238
CTNS	399	355	289	417	432	508	298	290	305	563	520	630	285	235	241	502	476
RTN4R	68	49	53	37	79	86	20	20	11	24	14	41	57	20	69	34	54
PHF23	480	381	358	622	560	968	312	317	276	599	555	775	466	365	362	779	716
CDH10	0	3	0	1	1	0	2	1	0	3	0	1	0	1	2	1	0
INPP4A	259	226	200	226	232	413	283	217	216	336	332	337	313	263	216	375	317
RAB27B	28	34	39	53	21	83	35	33	26	31	26	63	24	39	64	75	88
PSMA4	2124	1994	1657	1524	1476	1695	1341	1204	1689	1663	1907	1906	1967	1454	2250	2094	1600
MYO16	91	69	79	54	62	54	112	84	105	68	62	70	66	52	67	63	59
LSG1	1284	1136	978	934	837	1304	1005	971	1166	1143	1239	1374	1111	918	937	982	829
PARP3	350	278	293	355	372	396	333	331	403	481	498	498	230	199	198	412	317
TNC	40	37	30	97	95	144	19	44	28	132	93	197	47	67	40	263	389
THAP3	136	98	109	122	128	183	86	65	56	85	61	97	138	81	90	138	144
RIPOR3	25	32	14	77	33	41	1	3	4	173	208	189	2	5	4	106	77
TDP1	134	102	100	141	110	158	94	79	78	171	151	149	130	119	110	230	208
AIFM2	1270	1063	1029	1210	1263	1604	587	610	643	1025	1083	1168	1016	622	1145	1247	1199
C2orf83	2	1	0	1	1	4	1	4	1	2	1	1	3	2	1	0	1
SPATA7	87	80	46	84	102	118	47	57	67	95	122	116	86	61	89	161	144
MED17	204	215	174	139	154	114	134	162	220	255	281	216	234	178	140	118	167
RETSAT	6966	5763	5397	5878	5922	8153	4605	4150	4348	5312	6165	6811	4705	3401	4392	7616	6523
CAPG	45	43	28	41	54	56	30	26	18	61	49	77	31	38	41	93	117
AP2S1	581	550	538	553	597	686	548	510	430	652	610	848	723	484	623	788	763
USH2A	50	45	42	42	33	33	69	66	54	21	23	24	34	31	27	40	41
ZPBP	1	0	0	0	0	0	0	0	4	0	2	1	0	0	4	0	0
TG	55	44	28	32	29	44	63	52	59	19	29	17	51	46	47	31	32
ADAM28	2	2	0	3	5	8	0	0	0	4	8	12	7	2	1	7	3
BARX2	1	1	1	0	0	0	1	0	2	3	2	2	0	0	2	0	4
DCUN1D1	1062	902	863	967	883	1188	918	758	802	827	970	971	966	749	736	1319	939
JADE2	187	165	130	103	93	108	161	144	115	123	104	129	164	132	120	133	98
ZIC2	5	5	2	1	2	0	5	2	6	1	0	0	17	11	20	3	1
LCP2	1	0	0	0	0	0	2	0	1	3	1	0	1	0	5	0	6
TRIT1	171	158	127	155	148	133	151	131	170	208	248	224	163	161	149	191	202
ADRB1	0	0	0	0	2	1	2	3	4	7	9	11	0	1	0	1	1
GUCA2B	0	2	0	2	2	0	0	0	0	2	0	1	3	0	3	1	4
CUL7	547	444	355	411	415	533	473	397	325	568	527	595	530	443	383	488	495
CTNNA1	5780	5049	4266	5662	5615	7443	4586	4106	3411	5065	5430	6053	6112	4545	5918	6000	5566
PHKA2	1492	1091	942	2382	2716	2882	1378	1220	1368	3163	3514	3499	1218	1132	919	3005	2535
CNTLN	350	315	234	294	269	435	380	305	370	465	565	566	328	247	282	552	480
EPHA3	1	0	2	2	1	14	8	6	10	7	11	11	1	3	10	7	10
HSPA5	37248	33658	27206	30327	26165	40647	23530	19984	22065	25254	28887	24846	75077	52067	58435	34813	32594
DSG2	1381	1099	935	1529	1669	2060	703	599	463	1282	1386	1668	1530	1257	1313	1909	1941
GEMIN8	186	181	152	203	208	216	101	106	133	177	189	202	208	146	145	249	229
OFD1	495	424	330	416	453	572	300	326	458	503	671	500	384	438	353	474	369
GPM6B	21	14	11	9	9	12	14	13	15	15	18	15	12	14	10	12	9
MAGEC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PREX2	13	4	4	17	18	33	2	2	2	16	7	30	0	1	0	5	9
WDR37	329	298	251	344	305	460	323	278	342	391	424	472	450	343	335	338	349
YTHDC2	883	712	658	1053	1039	1315	753	633	822	1106	1337	1253	833	745	728	1260	1137
CTPS2	185	235	169	323	315	424	208	168	195	376	405	430	238	209	189	441	480
ATP6V1H	598	567	470	762	767	931	509	405	390	784	852	870	558	423	493	932	800
POLR2B	1713	1485	1358	1565	1411	1985	1639	1386	1391	1644	1942	2050	2100	1727	1560	1937	1629
FAM214A	918	825	670	997	898	1258	903	817	1028	1283	1625	1491	895	811	722	1552	1352
ARAP2	213	186	185	216	259	287	191	186	194	247	332	287	156	194	177	242	232
TPR	1624	1310	972	1464	1530	1753	1466	1279	1613	1645	1914	1690	983	950	826	1619	1483
CP	52732	39291	32454	108670	126105	139230	56887	44231	31366	115419	143203	132372	60683	56801	33506	145794	123667
KATNIP	157	159	115	161	187	247	137	135	106	195	182	192	132	153	154	179	174
DTNBP1	113	90	65	59	89	120	90	88	68	110	114	119	98	77	79	115	86
XK	176	165	155	78	114	157	149	99	89	36	87	64	165	151	162	112	102
ANO2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	2
C12orf4	362	321	300	264	220	370	348	280	298	237	341	296	322	259	306	305	262
SCML1	704	555	431	522	475	660	571	525	865	750	975	777	562	527	457	692	530
WWC3	213	203	163	203	214	290	191	177	137	168	211	168	220	172	166	221	268
ARHGAP6	1	2	1	1	3	5	1	3	6	1	6	2	3	0	1	5	1
FAM184B	3	0	0	1	1	4	1	0	9	2	2	0	1	3	2	1	1
MAP4	2775	2497	2256	2934	2653	3826	2305	2037	1437	2174	2204	2308	3004	2543	2419	3506	3243
GOPC	963	841	713	703	664	838	1000	876	768	591	771	692	1229	1017	955	965	732
ROS1	12	9	9	40	24	18	10	12	20	53	70	73	0	2	1	13	10
USP28	590	484	427	470	458	562	519	421	518	502	659	517	398	358	344	626	479
HDAC9	5	2	0	3	3	8	5	1	6	1	3	11	2	5	2	6	7
TSPAN17	522	510	428	482	524	683	410	357	308	504	458	560	646	442	522	674	690
NOP16	526	423	392	286	212	393	260	237	294	215	243	219	480	373	428	321	252
CC2D2A	41	41	27	33	33	33	47	57	49	45	50	51	48	38	43	55	55
RRM2B	1503	1400	1141	2758	2603	3603	1394	1216	831	1442	1771	1560	2074	1651	1441	2860	2711
ZNF800	423	328	297	380	276	484	359	287	295	348	413	385	526	425	401	367	309
